Product_Name,Price
"ADVAN Workmate Core i3 1215U Memori 8 GB SSD 256 GB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 256 GB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",5400000
"ADVAN Workmate Core i3 1215U Memori 8 GB SSD 512 GB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 512 GB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",5900000
"ADVAN Workmate Core i3 1215U Memori 8 GB SSD 1 TB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 1 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",6400000
"ADVAN Workmate Core i3 1215U Memori 8 GB SSD 2 TB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 2 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",7400000
"ADVAN Workmate Core i3 1215U Memori 8 GB SSD 4 TB Win 11 Pro (Intel Core i3 1215U, RAM 8 GB, SSD 4 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",8900000
"ADVAN Workmate Core i3 1215U Memori 16 GB SSD 256 GB Win 11 Pro (Intel Core i3 1215U, RAM 16 GB, SSD 256 GB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",5900000
"ADVAN Workmate Core i3 1215U Memori 16 GB SSD 512 GB Win 11 Pro (Intel Core i3 1215U, RAM 16 GB, SSD 512 GB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",6400000
"ADVAN Workmate Core i3 1215U Memori 16 GB SSD 1 TB Win 11 Pro (Intel Core i3 1215U, RAM 16 GB, SSD 1 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",6900000
"ADVAN Workmate Core i3 1215U Memori 16 GB SSD 2 TB Win 11 Pro (Intel Core i3 1215U, RAM 16 GB, SSD 2 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",7900000
"ADVAN Workmate Core i3 1215U Memori 16 GB SSD 4 TB Win 11 Pro (Intel Core i3 1215U, RAM 16 GB, SSD 4 TB, Vga Intel UHD Graphics, LED 14 WUXGA, Windows 11 Profesional) Ready Stock",9400000
"ADVAN AI Gen Ryzen 7 8845HS Memori 16 GB SSD 512 GB Win 11 (AMD Ryzen 7 8845HS, RAM 16 GB, SSD 512 GB, Vga AMD Radeon 780M, LED 14"" FHD IPS Win 11 Home) Ready Stock",10150000
"ADVAN AI Gen Ryzen 7 8845HS Memori 16 GB SSD 512 GB Win 11 Pro (AMD Ryzen 7 8845HS, RAM 16 GB, SSD 512 GB, Vga AMD Radeon 780M, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",10900000
"ADVAN AI Gen Ryzen 7 8845HS Memori 16 GB SSD 1 TB Win 11 Pro (AMD Ryzen 7 8845HS, RAM 16 GB, SSD 1 TB, Vga AMD Radeon 780M, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",11900000
"ADVAN AI Gen Ryzen 7 8845HS Memori 16 GB SSD 2 TB Win 11 Pro (AMD Ryzen 7 8845HS, RAM 16 GB, SSD 2 TB, Vga AMD Radeon 780M, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",12900000
"ADVAN AI Gen Ryzen 7 8845HS Memori 16 GB SSD 4 TB Win 11 Pro (AMD Ryzen 7 8845HS, RAM 16 GB, SSD 4 TB, Vga AMD Radeon 780M, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",14400000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 8 GB SSD 256 GB Win 11 / ADVAN WORKPRO LITE I3 1220P 8GB 256GB W11 (Intel Core i3 1220P, RAM 8 GB, SSD 256 GB, Vga Intel UHD Graphics, LED 14"" HD, Win 11 Home) Ready Stock",4500000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 8 GB SSD 256 GB Win 11 Pro (Intel Core i3 1220P, RAM 8 GB, SSD 256 GB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",5400000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 8 GB SSD 512 GB Win 11 Pro (Intel Core i3 1220P, RAM 8 GB, SSD 512 GB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",5900000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 8 GB SSD 1 TB Win 11 Pro (Intel Core i3 1220P, RAM 8 GB, SSD 1 TB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",6400000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 8 GB SSD 2 TB Win 11 Pro (Intel Core i3 1220P, RAM 8 GB, SSD 2 TB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",7400000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 8 GB SSD 4 TB Win 11 Pro (Intel Core i3 1220P, RAM 8 GB, SSD 4 TB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",8900000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 16 GB SSD 256 GB Win 11 Pro (Intel Core i3 1220P, RAM 16 GB, SSD 256 GB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",5900000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 16 GB SSD 512 GB Win 11 Pro (Intel Core i3 1220P, RAM 16 GB, SSD 512 GB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",6400000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 16 GB SSD 1 TB Win 11 Pro (Intel Core i3 1220P, RAM 16 GB, SSD 1 TB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",6900000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 16 GB SSD 2 TB Win 11 Pro (Intel Core i3 1220P, RAM 16 GB, SSD 2 TB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",7900000
"ADVAN Laptop WorkPro Lite Core i3 1220P Memori 16 GB SSD 4 TB Win 11 Pro (Intel Core i3 1220P, RAM 16 GB, SSD 4 TB, Vga Intel UHD Graphics, LED 14"" HD, Windows 11 Profesional) Ready Stock",9400000
"ADVAN WorkPlus Ryzen 5 6600H Memori 16 GB SSD 512 GB Win 11 / ADVAN WORKPLUS RYZEN 5 6600H 16GB 512GB W11 (AMD Ryzen 5 6600H, RAM 16 GB, SSD 512 GB, Vga AMD Radeon 660M, LED 14"" FHD, Win 11 Home) Ready Stock",6400000
"ADVAN WorkPlus Ryzen 5 6600H Memori 16 GB SSD 512 GB Win 11 Pro (AMD Ryzen 5 6600H, RAM 16 GB, SSD 512 GB, Vga AMD Radeon 660M, LED 14"" FHD, Windows 11 Profesional) Ready Stock",7400000
"ADVAN WorkPlus Ryzen 5 6600H Memori 16 GB SSD 1 TB Win 11 Pro (AMD Ryzen 5 6600H, RAM 16 GB, SSD 1 TB, Vga AMD Radeon 660M, LED 14"" FHD, Windows 11 Profesional) Ready Stock",8400000
"ADVAN WorkPlus Ryzen 5 6600H Memori 16 GB SSD 2 TB Win 11 Pro (AMD Ryzen 5 6600H, RAM 16 GB, SSD 2 TB, Vga AMD Radeon 660M, LED 14"" FHD, Windows 11 Profesional) Ready Stock",9400000
"ADVAN WorkPlus Ryzen 5 6600H Memori 16 GB SSD 4 TB Win 11 Pro (AMD Ryzen 5 6600H, RAM 16 GB, SSD 4 TB, Vga AMD Radeon 660M, LED 14"" FHD, Windows 11 Profesional) Ready Stock",10900000
"ADVAN WorkPlus Ryzen 7 7735HS Memori 16 GB SSD 512 GB Win 11 / ADVAN WORKPLUS DARBOTZ RYZEN 7 7735HS 16GB 512GB W11 (AMD Ryzen 7 7735HS, RAM 16 GB, SSD 512 GB, Vga AMD Radeon 680M , LED 14"" FHD, Win 11 Home) Ready Stock",7750000
"ADVAN WorkPlus Ryzen 7 7735HS Memori 16 GB SSD 512 GB Win 11 Pro (AMD Ryzen 7 7735HS, RAM 16 GB, SSD 512 GB, Vga AMD Radeon 680M , LED 14"" FHD, Windows 11 Profesional) Ready Stock",8900000
"ADVAN WorkPlus Ryzen 7 7735HS Memori 16 GB SSD 1 TB Win 11 Pro (AMD Ryzen 7 7735HS, RAM 16 GB, SSD 1 TB, Vga AMD Radeon 680M , LED 14"" FHD, Windows 11 Profesional) Ready Stock",9900000
"ADVAN WorkPlus Ryzen 7 7735HS Memori 16 GB SSD 2 TB Win 11 Pro (AMD Ryzen 7 7735HS, RAM 16 GB, SSD 2 TB, Vga AMD Radeon 680M , LED 14"" FHD, Windows 11 Profesional) Ready Stock",10900000
"ADVAN WorkPlus Ryzen 7 7735HS Memori 16 GB SSD 4 TB Win 11 Pro (AMD Ryzen 7 7735HS, RAM 16 GB, SSD 4 TB, Vga AMD Radeon 680M , LED 14"" FHD, Windows 11 Profesional) Ready Stock",12400000
"ADVAN Workpro Core i5 1035G7 Memori 8 GB SSD 256 GB GB Win 11 (Intel Core i5 1035G7, RAM 8 GB, SSD 256 GB, Vga Intel, LED 14"" FHD, Win 11 Home) Ready Stock",4950000
"ADVAN Workpro Core i5 1035G7 Memori 8 GB SSD 256 GB GB Win 11 Pro (Intel Core i5 1035G7, RAM 8 GB, SSD 256 GB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",5900000
"ADVAN Workpro Core i5 1035G7 Memori 8 GB SSD 512 GB GB Win 11 Pro (Intel Core i5 1035G7, RAM 8 GB, SSD 512 GB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",6400000
"ADVAN Workpro Core i5 1035G7 Memori 8 GB SSD 1 TB GB Win 11 Pro (Intel Core i5 1035G7, RAM 8 GB, SSD 1 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",6900000
"ADVAN Workpro Core i5 1035G7 Memori 8 GB SSD 2 TB GB Win 11 Pro (Intel Core i5 1035G7, RAM 8 GB, SSD 2 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",7900000
"ADVAN Workpro Core i5 1035G7 Memori 8 GB SSD 4 TB GB Win 11 Pro (Intel Core i5 1035G7, RAM 8 GB, SSD 4 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",9400000
"ADVAN Workpro Core i5 1035G7 Memori 16 GB SSD 256 GB GB Win 11 Pro (Intel Core i5 1035G7, RAM 16 GB, SSD 256 GB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",6400000
"ADVAN Workpro Core i5 1035G7 Memori 16 GB SSD 512 GB GB Win 11 Pro (Intel Core i5 1035G7, RAM 16 GB, SSD 512 GB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",6900000
"ADVAN Workpro Core i5 1035G7 Memori 16 GB SSD 1 TB GB Win 11 Pro (Intel Core i5 1035G7, RAM 16 GB, SSD 1 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",7400000
"ADVAN Workpro Core i5 1035G7 Memori 16 GB SSD 2 TB GB Win 11 Pro (Intel Core i5 1035G7, RAM 16 GB, SSD 2 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",8400000
"ADVAN Workpro Core i5 1035G7 Memori 16 GB SSD 4 TB GB Win 11 Pro (Intel Core i5 1035G7, RAM 16 GB, SSD 4 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",9900000
"ADVAN Workplus Core i5 1235U Memori 16 GB SSD 512 GB GB Win 11 (Intel Core i5 1235U, RAM 16 GB, SSD 512 GB, Vga Intel Iris Xe Graphics, LED 14"" FHD IPS, Win 11 Home) Ready Stock",7250000
"ADVAN Workplus Core i5 1235U Memori 16 GB SSD 512 GB GB Win 11 Pro (Intel Core i5 1235U, RAM 16 GB, SSD 512 GB, Vga Intel Iris Xe Graphics, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",8400000
"ADVAN Workplus Core i5 1235U Memori 16 GB SSD 1 TB GB Win 11 Pro (Intel Core i5 1235U, RAM 16 GB, SSD 1 TB, Vga Intel Iris Xe Graphics, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",9400000
"ADVAN Workplus Core i5 1235U Memori 16 GB SSD 2 TB GB Win 11 Pro (Intel Core i5 1235U, RAM 16 GB, SSD 2 TB, Vga Intel Iris Xe Graphics, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",10400000
"ADVAN Workplus Core i5 1235U Memori 16 GB SSD 4 TB GB Win 11 Pro (Intel Core i5 1235U, RAM 16 GB, SSD 4 TB, Vga Intel Iris Xe Graphics, LED 14"" FHD IPS, Windows 11 Profesional) Ready Stock",11900000
"ADVAN Workpro Core i5 12450H Memori 8 GB SSD 512 GB GB Win 11 / ADVAN WORKPRO I5 12450H 8GB 512GB W11 (Intel Core i5 12450H, RAM 8 GB, SSD 512 GB, Vga Intel, LED 14"" FHD, Win 11 Home) Ready Stock",5650000
"ADVAN Workpro Core i5 12450H Memori 8 GB SSD 512 GB GB Win 11 Pro (Intel Core i5 12450H, RAM 8 GB, SSD 512 GB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",6400000
"ADVAN Workpro Core i5 12450H Memori 8 GB SSD 1 TB GB Win 11 Pro (Intel Core i5 12450H, RAM 8 GB, SSD 1 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",7400000
"ADVAN Workpro Core i5 12450H Memori 8 GB SSD 2 TB GB Win 11 Pro (Intel Core i5 12450H, RAM 8 GB, SSD 2 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",8400000
"ADVAN Workpro Core i5 12450H Memori 8 GB SSD 4 TB GB Win 11 Pro (Intel Core i5 12450H, RAM 8 GB, SSD 4 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",9900000
"ADVAN Workpro Core i5 12450H Memori 16 GB SSD 512 GB GB Win 11 Pro (Intel Core i5 12450H, RAM 16 GB, SSD 512 GB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",6900000
"ADVAN Workpro Core i5 12450H Memori 16 GB SSD 1 TB GB Win 11 Pro (Intel Core i5 12450H, RAM 16 GB, SSD 1 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",7900000
"ADVAN Workpro Core i5 12450H Memori 16 GB SSD 2 TB GB Win 11 Pro (Intel Core i5 12450H, RAM 16 GB, SSD 2 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",8900000
"ADVAN Workpro Core i5 12450H Memori 16 GB SSD 4 TB GB Win 11 Pro (Intel Core i5 12450H, RAM 16 GB, SSD 4 TB, Vga Intel, LED 14"" FHD, Windows 11 Profesional) Ready Stock",10400000
